Unnamed: 0,Clean_Title,Clean_Author,Title,Author,Genre,Type,Rating,No. of People rated,URLs,Description
2668,where crawdads sing,delia owens,Where the Crawdads Sing,Delia Owens,"Suspense, Thriller, Mystery, Crime, Thrillers",Paperback,4.5,500119.0,https://www.amazon.in/Where-Crawdads-Sing-Delia-Owens/dp/1472154665/ref=zg_bs_g_22960213031_d_sccl_19/000-0000000-0000000?psc=1,"OVER 12 MILLION COPIES SOLD WORLDWIDE NOW A MAJOR MOTION PICTURE A NUMBER ONE NEW YORK TIMES BESTSELLER For years, rumours of the 'Marsh Girl' have haunted Barkley Cove, a quiet town on the North Carolina coast. So in late 1969, when handsome Chase Andrews is found dead, the locals immediately suspect Kya Clark, the so-called Marsh Girl. But Kya is not what they say. Sensitive and intelligent, she has survived for years alone in the marsh that she calls home, finding friends in the gulls and lessons in the sand. Then the time comes when she yearns to be touched and loved. When two young men from town become intrigued by her wild beauty, Kya opens herself to a new life - until the unthinkable happens. 'Unforgettable . . . as engrossing as it is moving' Daily Mail 'I can't even express how much I love this book!' Reese Witherspoon '[It] will reach a huge audience though the writer's old-fashioned talents for compelling character, plotting and landscape description' Guardian 'Writing that takes your breath away' The Times"
2691,"girl on train, (red)",hawkins paula,"Girl on the Train, The (RED)",Paula Hawkins,"Suspense, Thriller, Mystery, Crime, Thrillers",Paperback,4.1,481629.0,https://www.amazon.in/Girl-Train-Paula-Hawkins/dp/0552779776/ref=zg_bs_g_22960213031_d_sccl_12/000-0000000-0000000?psc=1,"THE RUNAWAY GLOBAL BESTSELLER 'Really great suspense novel. Kept me up most of the night. The alcoholic narrator is dead perfect' STEPHEN KING Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. 'Jess and Jason', she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. And then she sees something shocking. It's only a minute until the train moves on, but it's enough. Now everything's changed. Now Rachel has a chance to become a part of the lives she's only watched from afar. Now they'll see; she's much more than just the girl on the train. . . 'A long, long time since a book gripped me like this' MARIAN KEYES ****** 'Gripping, enthralling - a top-notch thriller and a compulsive read' S J WATSON 'A cleverly crafted piece of modern suburban noir' Independent on Sunday 'It sucked up my entire afternoon. I simply could not put it down' TESS GERRITSEN 'My vote for unreliable narrator of the year' The Times ***PAULA HAWKINS' ADDICTIVE NEW THRILLER, THE BLUE HOUR IS AVAILABLE NOW***"
152,silent patient,alex michaelides,"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,"Criticism, Arts, Photography, Theory, Film",Kindle Edition,4.5,291822.0,https://www.amazon.in/Silent-Patient-most-anticipated-thriller-ebook/dp/B07G17DR4X/ref=zg_bs_g_1318057031_d_sccl_3/000-0000000-0000000?psc=1,"- THE RECORD-BREAKING, MULTIMILLION COPY GLOBAL BESTSELLER AND TIKTOK SENSATION - Discover the #1 New York Times and Sunday Times bestselling thriller with a jaw-dropping twist that everyone is talking about - as seen on TikTok. Soon to be a major film. Alicia Berenson lived a seemingly perfect life until one day six years ago. When she shot her husband in the head five times. Since then she hasn't spoken a single word. It's time to find out why. READERS LOVE THE SILENT PATIENT ⭐⭐⭐⭐⭐ 'Everything you need from a psychological thriller with a killer twist that is impossible to see coming!' ⭐⭐⭐⭐⭐ 'Fiendishly clever ... believe the hype .' ⭐⭐⭐⭐⭐ 'Grabs your afternoon from the start and never lets go ' ⭐⭐⭐⭐⭐ 'A fantastic thriller with an incredible plot twist that I really didn't see coming . I highly recommend.' ⭐⭐⭐⭐⭐ 'OMG, my heart is still pounding from the final chapters of this amazing thriller.' ⭐⭐⭐⭐⭐ ' I'm honestly speechless , best book I have read for a very long time' ⭐⭐⭐⭐⭐ 'The twists when they come, wow oh wow !' CRITICALLY ACCLAIMED 'The perfect thriller' AJ FINN 'Terrific' - THE TIMES Crime Book of the Month 'Smart, sophisticated suspense' - LEE CHILD 'Compelling' - OBSERVER 'Absolutely brilliant' - STEPHEN FRY 'A totally original psychological mystery' - DAVID BALDACCI 'One of the best thrillers I've read this year' - CARA HUNTER 'The pace and finesse of a master' - BBC CULTURE"
2655,"verity [] hoover, colleen",colleen hoover,"VERITY [Paperback] Hoover, Colleen",Colleen Hoover,"Suspense, Thriller, Mystery, Crime, Thrillers",Paperback,4.3,270151.0,https://www.amazon.in/VERITY-Paperback-Hoover-Colleen/dp/1408726602/ref=zg_bs_g_22960213031_d_sccl_6/000-0000000-0000000?psc=1,"Colleen Hoover brought you the beautiful, unforgettable It Ends With Us - now a major film starring Blake Lively. Now, discover her thriller with a twist that will leave you reeling . . . Verity is a global word-of-mouth hit, with over a million five star reviews from readers. Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish. Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night their family was forever altered. Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents would devastate the already-grieving father. But as Lowen's feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife's words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her . . . Before you start reading, ask yourself: are you ready to stay up all night? And if you love Verity , don't miss Colleen Hoover's thrilling new suspense - Too Late is out now. 1 MILLION READERS HAVE ALREADY GIVEN VERITY FIVE STARS 'One of the best thrillers I have ever read ' ***** ' Powerful , mind-blowing and emotional ' ***** 'The plot twists and that ending came out of nowhere' ***** 'There are no words. Bravo ' ***** ' Dark , creepy , and one hundred per cent original ' ***** ' I NEEDED to know how this was going to end' ***** 'Left me completely speechless ' ***** VERITY was a No.1 Kindle bestseller on 18.03.22 Winner of The British Book Awards' Pageturner of the Year Award 15.05.23"
6588,lessons in chemistry,bonnie garmus,Lessons in Chemistry,Garmus Bonnie,"Sciences, Society, Culture, Social",Paperback,4.6,263976.0,https://www.amazon.in/Lessons-Chemistry-Sunday-bestseller-Between/dp/1804990922/ref=zg_bs_g_1318222031_d_sccl_15/000-0000000-0000000?psc=1,"THE FUNNY AND INSPIRING, MULTI-AWARD-WINNING BESTSELLER WITH MORE THAN 8 MILLION COPIES SOLD, now a major Apple TV+ series starring Brie Larson A Book of the Year for: Guardian, Times, Sunday Times, New York Times, Good House Keeping, Woman & Home, Stylist, TLS Oprah Daily, Newsweek, Mail on Sunday, NPR, India Knight, Hay Festival, Waterstones , Amazon, Books Are My Bag, and many more! 'The most charming, life-enhancing novel’ Sunday Times 'Funny , thought-provoking and stylish ' Guardian ‘The best book I've read recently. I loved it’ - SARA COX, BBC 2 Between the Covers ‘Everyone needs to read this ’ 5-star reader review ___________ A woman ahead of her time. But exactly right for ours Chemist Elizabeth Zott is not your average woman. In fact, she would be the first to point out that there is no such thing. But it's the early 1960s and her all-male team at Hastings Research Institute take a very unscientific view of equality. Except for one: Calvin Evans, the lonely, brilliant, Nobel-Prize-nominated grudge-holder who falls in love with - of all things - her mind. Like science, life is unpredictable. Forced to leave her job at the institute, Elizabeth Zott soon finds herself the reluctant star of America's most beloved cooking show, Supper at Six. Elizabeth's unusual approach to cooking ('Combine one tablespoon acetic acid with a pinch of sodium chloride') proves revolutionary. But as her following grows, not everyone is happy. Because as it turns out, Elizabeth Zott isn't just teaching women to cook. She's daring them to change the status quo. One molecule at a time. __________ A New York Times ‘Top 100 Best Books of the 21st Century’ Reader's Pick Author of the Year at the British Book Awards Author of the Year, Waterstones Winner of the Goodreads Choice Best Debut Novel Award Winner of the Books are My Bag Reader's Choice Award Winner of the Books are My Bag Breakthrough Author Award Shortlisted for the HWA Crown Award PRAISE FOR LESSONS IN CHEMISTRY : 'Laugh-out-loud funny and brimming with life, generosity and courage' Rachel Joyce, bestselling author of The Homemade God ‘Full of humour, heartbreak and characters who feel like real people’ Red Magazine ‘ Page-turning and highly satisfying’ – Maggie Shipstead, bestselling author of Great Circle 'I loved Lessons in Chemistry and am devastated to have finished it !' Nigella Lawson 'A novel that sparks joy with every page' Elizabeth Day, bestselling author of Magpie ' Witty and sometimes hilarious ... the Catch-22 of early feminism' Stephen King ‘A beautiful, sharp, funny and dark modern classic . I adored it' Chris Whitaker, bestselling author of All the Colours of the Dark ‘The best book that I have read this year – a funny, warm, unique book’ 5-star reader review ‘ Witty , poignant , clever , brilliantly plotted… believe the hype’ 5-star reader review ‘ Funny , honest and heart-wrenching this book had me hooked until the end .’ 5-star reader review Lessons in Chemistry has sold over 8 million copies worldwide across all formats, People , January 2025 Front cover may vary"
2657,housemaid,freida mcfadden,THE HOUSEMAID,Freida Mcfadden,"Suspense, Thriller, Mystery, Crime, Thrillers",Paperback,4.3,242023.0,https://www.amazon.in/HOUSEMAID-Freida-Mcfadden/dp/014346115X/ref=zg_bs_g_22960213031_d_sccl_8/000-0000000-0000000?psc=1,""" Multi-Million Copy Bestselling Series • Now Being Made Into a Major Motion Picture Starring Sydney Sweeney and Amanda Seyfried #1 New York Times, USA Today, and Sunday Times Bestseller Don’t miss the chilling, addictive thriller that has captivated millions of readers on TikTok and Instagram. Freida McFadden’s The Housemaid is a mind-bending psychological page-turner perfect for fans of Verity , The Woman in the Window , Ruth Ware, and Lisa Jewell. Why Readers Love The Housemaid : ✅ Over 2 million copies sold worldwide ✅ #1 New York Times, USA Today & Sunday Times bestseller ✅ Soon to be a major motion picture starring Sydney Sweeney and Amanda Seyfried ✅ Viral sensation on TikTok and Instagram ✅ Shocking twist you won’t see coming ✅ Perfect for fans of domestic thrillers and psychological suspense About the Book: Welcome to the Winchester home. Every day, I clean their beautiful house from top to bottom, pick up their daughter from school, and cook their gourmet meals. I do it all in silence, retreating each night to my tiny attic bedroom—locked from the outside. I try to ignore the strange things Nina says. The messes she creates just for me to clean. The lies about her own child. And Andrew—her quiet, broken husband—who watches me with those haunted eyes. I shouldn’t dream about her life. Her clothes. Her walk-in closet. Her perfect family. But one day, I slip into one of Nina’s pristine white dresses… just for a moment. And everything changes. Because the Winchesters don’t know who I really am. And they have no idea what I’m capable of... """
5874,things we never got over,lucy score,THINGS WE NEVER GOT OVER: the TikTok bestseller and perfect small-town romcom! (Knockemout Series),Lucy Score,"Western, Romance, Frontier",Paperback,4.4,173438.0,https://www.amazon.in/Things-Never-Got-Over-bestseller/dp/1399713744/ref=zg_bs_g_89265404031_d_sccl_1/000-0000000-0000000?psc=1,"THE NEW YORK TIMES BESTSELLER* THE UNMISSABLE TIKTOK SENSATION* OVER 1.6 MILLION COPIES SOLD WORLDWIDE Grumpy, small-town barber + hopelessly romantic runaway bride = great big bust ups, all the tension and lots of steamy encounters! Escaping her seemingly perfect wedding, Naomi Witt arrives in rough-around-the-edges Knockemout, Virginia, running to the rescue of her estranged twin, Tina. Too bad for Naomi her evil twin hasn't changed at all. After helping herself to Naomi's car and cash, Tina leaves her with something unexpected: the 11-year-old niece she didn't know she had. Now she's stuck in town with no job, no plan, no home and a whole lot of extra responsibility. There's a reason local barber Knox doesn't do complications or high-maintenance women, especially not the romantic ones. But since Naomi's life imploded right in front of him, the least he can do is help her out of her jam. And just as soon as she stops getting into trouble, he can leave her alone and get back to his peaceful, solitary life. At least that's the plan, until their lives begin to entwine in ways they never imagined . . . * New York Times bestseller, 18 weeks from October 2022 - February 2023* *With 78.9 million views on #thingswenevergotover as of April 2023* 'I laughed. I cried. I laughed while I cried, and I definitely blushed' Book Addict"
2965,fourth wing,rebecca yarros,Fourth Wing: DISCOVER THE INSTANT SUNDAY TIMES AND NUMBER ONE GLOBAL BESTSELLING PHENOMENON!* (The Empyrean),Rebecca Yarros,"Fiction, Horror, Fantasy, Science",Kindle Edition,4.7,165909.0,https://www.amazon.in/Fourth-Wing-Discover-obsession-Empyrean-ebook/dp/B0BPP58HR2/ref=zg_bs_g_1318163031_d_sccl_16/000-0000000-0000000?psc=1,"DON'T BE THE LAST TO DISCOVER THE SERIES THAT EVERYONE CAN'T STOP TALKING ABOUT: 'I couldn't put it down!' Millie Bobby Brown 'This book contains an addictive, drug-like essence that will make you relinquish all responsibility' Glamour 'Yarros had me hooked from the first chapter' Mail on Sunday _ FRIENDS. ENEMIES. LOVERS . . . EVERYONE HAS AN AGENDA Violet Sorrengail expected to live a quiet life surrounded by books, until she was forced onto the world's deadliest training ground. Now she must fight to join the army's elite: dragon riders. But dragons don't choose fragile riders, they incinerate them, and when your body breaks as easily as Violet's does - death is only a heartbeat away. EVERY NIGHT COULD BE YOUR LAST Many cadets would kill Violet to better their own chances of success; the rest would kill her just because of her last name . . . including the ruthless Xaden Riorson, her family's greatest enemy. With the odds stacked against her, Violet must use every edge her wits can give her just to see the next sunrise, because once you enter Basgiath War College, there are only two ways out: GRADUATE OR DIE _ OVER TWO MILLION READERS HAVE ALREADY GIVEN FOUR T H WING FIVE S T ARS. ARE YOU READY T O ENTER T HE WORLD OF BASGIA T H WAR COLLEGE? 'Incredible storytelling on every page' The Sun ' Pure escapism . . . We'd suggest savouring every moment' Independent 'Full of action, suspense and intrigue. This is the ride you have been waiting for, hold on tight' Daily Mirror 'We weren't expecting to become obsessed . . . but we very much are and we're not alone' Sunday Times Style 'The new publishing sensation' Daily Mail 'Yarros is the true inheritor of Harry Potter and inspires Hunger Games levels of devotion' Guardian 'A deliciously gripping dish, which I downed in one sitting' Stylist '2024 is the Year of the Dragon . . . Dive into a fantasy narrative featuring these mythical, winged creatures' Pop Sugar 'One of the publishing events of the year' BBC News 'Prepare to get obsessed' Cosmopolitan OTHER BOOKS IN THE EMPYREAN SERIES: - FOURTH WING - IRON FLAME - ONYX STORM *Rebecca Yarros's Fourth Wing paperback was an instant number-one bestseller in the first week of April 2024."
7685,fault in our stars,green john,The Fault in Our Stars,John Green,"Adult, Romance, Young, Teen",Paperback,4.5,154645.0,https://www.amazon.in/Fault-our-Stars-John-Green/dp/0141345659/ref=zg_bs_g_67803438031_d_sccl_8/000-0000000-0000000?psc=1,"I fell in love the way you fall asleep: slowly, then all at once. Despite the tumour-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten. Insightful, bold, irreverent, and raw, The Fault in Our Stars brilliantly explores the funny, thrilling, and tragic business of being alive and in love. Praise for The Fault in Our Stars : Sunday Times (Culture) 'A touching, often fiercely funny novel' The Sun on Sunday (Fabulous Magazine) 'So good I think it should be compulsory reading for everyone!' Daily Express 'John Green brilliantly captures the voices of a young generation while instilling it with the wisdom of a life that has lived too much yet will never live enough' The Metro - 2013 Best Fiction 'The love affair of two terminally ill teenagers could be mawkish. In fact, it's funny, clever, irreverent and life-affirming.' Grazia 'So good!' Good Housekeeping 'As funny as it is heartbreaking... we defy you not to fall in love with its main characters, Hazel and Augustus.' The Tablet 'A humourous and poignant love story... It's terrifically funny... as well as a moving exploration of loss and grief. And no, it's so much not just for teenage cancer sufferers... it's for everyone.' Bliss 'If you need inspiration when it comes to making the most of a moment, this one is for you' Mizz 'Insightful, bold, irreverent and raw, if this doesn't make you cry, it'll definitely make you think, laugh and maybe even fall in love yourself!'"
3097,subtle art of not giving f*ck,manson mark,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Development, Transformation, Family, Health, Personal",Audible Audiobook,4.5,141395.0,https://www.amazon.in/Subtle-Art-Not-Giving-Counterintuitive/dp/B079BN6M71/ref=zg_bs_g_1318132031_d_sccl_18/000-0000000-0000000?psc=1,"#1 New York Times Bestseller More than 10 million Copies Sold In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be """"positive"""" all the time so that we can truly become better, happier people. For decades, we’ve been told that positive thinking is the key to a happy, rich life. """"F**k positivity,"""" Mark Manson says. """"Let’s be honest, shit is f**ked and we have to live with it."""" In his wildly popular Internet blog, Manson doesn’t sugarcoat or equivocate. He tells it like it is—a dose of raw, refreshing, honest truth that is sorely lacking today. The Subtle Art of Not Giving a F**k is his antidote to the coddling, let’s-all-feel-good mindset that has infected modern society and spoiled a generation, rewarding them with gold medals just for showing up. Manson makes the argument, backed both by academic research and well-timed poop jokes, that improving our lives hinges not on our ability to turn lemons into lemonade, but on learning to stomach lemons better. Human beings are flawed and limited—""""not everybody can be extraordinary, there are winners and losers in society, and some of it is not fair or your fault."""" Manson advises us to get to know our limitations and accept them. Once we embrace our fears, faults, and uncertainties, once we stop running and avoiding and start confronting painful truths, we can begin to find the courage, perseverance, honesty, responsibility, curiosity, and forgiveness we seek. There are only so many things we can give a f**k about so we need to figure out which ones really matter, Manson makes clear. While money is nice, caring about what you do with your life is better, because true wealth is about experience. A much-needed grab-you-by-the-shoulders-and-look-you-in-the-eye moment of real-talk, filled with entertaining stories and profane, ruthless humor, The Subtle Art of Not Giving a F*ck is a refreshing slap for a generation to help them lead contented, grounded lives."
