Unnamed: 0,Clean_Title,Clean_Author,Title,Author,Genre,Type,Rating,No. of People rated,URLs
2668,where crawdads sing,delia owens,Where the Crawdads Sing,Delia Owens,Suspense Mystery Thrillers and Thriller Crime,Paperback,4.5,500119.0,https://www.amazon.in/Where-Crawdads-Sing-Delia-Owens/dp/1472154665/ref=zg_bs_g_22960213031_d_sccl_19/000-0000000-0000000?psc=1
2691,"girl on train, (red)",hawkins paula,"Girl on the Train, The (RED)",Paula Hawkins,Suspense Mystery Thrillers and Thriller Crime,Paperback,4.1,481629.0,https://www.amazon.in/Girl-Train-Paula-Hawkins/dp/0552779776/ref=zg_bs_g_22960213031_d_sccl_12/000-0000000-0000000?psc=1
152,silent patient,alex michaelides,"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,Film Photography Theory Criticism Arts,Kindle Edition,4.5,291822.0,https://www.amazon.in/Silent-Patient-most-anticipated-thriller-ebook/dp/B07G17DR4X/ref=zg_bs_g_1318057031_d_sccl_3/000-0000000-0000000?psc=1
2655,"verity [] hoover, colleen",colleen hoover,"VERITY [Paperback] Hoover, Colleen",Colleen Hoover,Suspense Mystery Thrillers and Thriller Crime,Paperback,4.3,270151.0,https://www.amazon.in/VERITY-Paperback-Hoover-Colleen/dp/1408726602/ref=zg_bs_g_22960213031_d_sccl_6/000-0000000-0000000?psc=1
6588,lessons in chemistry,bonnie garmus,Lessons in Chemistry,Garmus Bonnie,Society Sciences Culture Social,Paperback,4.6,263976.0,https://www.amazon.in/Lessons-Chemistry-Sunday-bestseller-Between/dp/1804990922/ref=zg_bs_g_1318222031_d_sccl_15/000-0000000-0000000?psc=1
2657,housemaid,freida mcfadden,THE HOUSEMAID,Freida Mcfadden,Suspense Mystery Thrillers and Thriller Crime,Paperback,4.3,242023.0,https://www.amazon.in/HOUSEMAID-Freida-Mcfadden/dp/014346115X/ref=zg_bs_g_22960213031_d_sccl_8/000-0000000-0000000?psc=1
5874,things we never got over,lucy score,THINGS WE NEVER GOT OVER: the TikTok bestseller and perfect small-town romcom! (Knockemout Series),Lucy Score,Romance Frontier Western,Paperback,4.4,173438.0,https://www.amazon.in/Things-Never-Got-Over-bestseller/dp/1399713744/ref=zg_bs_g_89265404031_d_sccl_1/000-0000000-0000000?psc=1
2965,fourth wing,rebecca yarros,Fourth Wing: DISCOVER THE INSTANT SUNDAY TIMES AND NUMBER ONE GLOBAL BESTSELLING PHENOMENON!* (The Empyrean),Rebecca Yarros,Fiction Science Horror Fantasy,Kindle Edition,4.7,165909.0,https://www.amazon.in/Fourth-Wing-Discover-obsession-Empyrean-ebook/dp/B0BPP58HR2/ref=zg_bs_g_1318163031_d_sccl_16/000-0000000-0000000?psc=1
7685,fault in our stars,green john,The Fault in Our Stars,John Green,Young Romance Adult Teen,Paperback,4.5,154645.0,https://www.amazon.in/Fault-our-Stars-John-Green/dp/0141345659/ref=zg_bs_g_67803438031_d_sccl_8/000-0000000-0000000?psc=1
3097,subtle art of not giving f*ck,manson mark,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Transformation Health Family Development Personal,Audible Audiobook,4.5,141395.0,https://www.amazon.in/Subtle-Art-Not-Giving-Counterintuitive/dp/B079BN6M71/ref=zg_bs_g_1318132031_d_sccl_18/000-0000000-0000000?psc=1
5082,me before you,jojo moyes,ME BEFORE YOU,Jojo Moyes,Romance Clean Wholesome,Paperback,4.5,140025.0,https://www.amazon.in/Me-Before-You-Jojo-Moyes/dp/0718157834/ref=zg_bs_g_89265408031_d_sccl_5/000-0000000-0000000?psc=1
6618,"handmaid's tale [] atwood, margaret",atwood margaret,"The Handmaid's Tale [Paperback] Atwood, Margaret",Margaret Atwood,Society Sciences Culture Social,Paperback,4.4,139671.0,https://www.amazon.in/Handmaids-Tale-Contemporary-Classics/dp/0099740915/ref=zg_bs_g_1318222031_d_sccl_15/000-0000000-0000000?psc=1
3564,to kill mockingbird,harper lee,TO KILL A MOCKINGBIRD,Harper Lee,Literature Fiction Classic,Paperback,4.5,125576.0,https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484/ref=zg_bs_g_1318159031_d_sccl_15/000-0000000-0000000?psc=1
3555,1984,george orwell,1984,George Orwell,Literature Fiction Classic,Paperback,4.5,125234.0,https://www.amazon.in/1984-George-Orwell/dp/9389053730/ref=zg_bs_g_1318159031_d_sccl_6/000-0000000-0000000?psc=1
3748,project hail mary,andy weir,Project Hail Mary,Andy Weir,Literature Fiction Science Fantasy Horror,Audible Audiobook,4.7,113287.0,https://www.amazon.in/Project-Hail-Mary/dp/B08G9XR74C/ref=zg_bs_g_1402038031_d_sccl_19/000-0000000-0000000?psc=1
6474,becoming,michelle obama,Becoming : The Sunday Times Number One Bestseller,Michelle Obama,Society Ethnography Sciences Social,Paperback,4.6,110817.0,https://www.amazon.in/Becoming-Sunday-Times-Number-Bestseller/dp/0241982979/ref=zg_bs_g_26437177031_d_sccl_1/000-0000000-0000000?psc=1
6281,when breath becomes air,kalanithi paul,When Breath Becomes Air,Paul Kalanithi,Life Sciences Medicine Biology Technology,Board book,4.6,100836.0,https://www.amazon.in/When-Breath-Becomes-Paul-Kalanithi/dp/1847923674/ref=zg_bs_g_1318206031_d_sccl_8/000-0000000-0000000?psc=1
2673,guest list,foley lucy,"The Guest List: From the author of The Hunting Party, the No.1 Sunday Times bestseller and prize winning mystery thriller in 2021",Lucy Foley,Suspense Mystery Thrillers and Thriller Crime,Paperback,4.1,100290.0,https://www.amazon.in/Guest-List-Lucy-Foley/dp/0008403775/ref=zg_bs_g_22960213031_d_sccl_24/000-0000000-0000000?psc=1
3766,born crime,noah trevor,BORN A CRIME: STORIES FROM A SOUTH AFRICAN CHILDHOOD,Trevor Noah,Literature Fiction Humour,Paperback,4.6,97292.0,https://www.amazon.in/BORN-CRIME-STORIES-AFRICAN-CHILDHOOD/dp/1473635306/ref=zg_bs_g_1318143031_d_sccl_17/000-0000000-0000000?psc=1
2975,song of achilles,madeline miller,The Song of Achilles,Madeline Miller,Fiction Science Horror Fantasy,Paperback,4.6,94523.0,https://www.amazon.in/Achilles-Bloomsbury-Publishing-Private-Limited/dp/938900022X/ref=zg_bs_g_1318163031_d_sccl_26/000-0000000-0000000?psc=1
3051,atomic habits,clear james,Atomic Habits,James Clear,Transformation Health Family Development Personal,Paperback,4.6,90104.0,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_1318132031_d_sccl_2/000-0000000-0000000?psc=1
452,very hungry caterpillar [board book] eric carle,carle eric,The Very Hungry Caterpillar [Board book] Eric Carle,Eric Carle,Pets Books Children's Animals,Board book,4.7,88951.0,https://www.amazon.in/Very-Hungry-Caterpillar-Eric-Carle/dp/0241003008/ref=zg_bs_g_67803455031_d_sccl_3/000-0000000-0000000?psc=1
2958,dune,frank herbert,Dune,Frank Herbert,Fiction Science Horror Fantasy,Mass Market Paperback,4.5,88530.0,https://www.amazon.in/Dune-Frank-Herbert/dp/0441172717/ref=zg_bs_g_1318163031_d_sccl_9/000-0000000-0000000?psc=1
250,man's search for meaning,e. frankl victor,Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,Accounts Biographies True Diaries,Paperback,4.5,84339.0,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_1318067031_d_sccl_1/000-0000000-0000000?psc=1
7229,boys in boat,brown daniel james,The Boys in the Boat,Daniel James Brown,Sports Organisations Sporting Events,Paperback,4.6,83479.0,https://www.amazon.in/Boys-Boat-Daniel-James-Brown/dp/1447210980/ref=zg_bs_g_1318275031_d_sccl_2/000-0000000-0000000?psc=1
2258,"tomorrow, and tomorrow, and tomorrow",gabrielle zevin,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Programming Digital Internet Development Computing Software Media,Paperback,4.3,83338.0,https://www.amazon.in/Tomorrow-Gabrielle-Zevin/dp/152911554X/ref=zg_bs_g_1318116031_d_sccl_9/000-0000000-0000000?psc=1
3008,haunting adeline,carlton d. h.,"Haunting Adeline: Cat and Mouse Duet, Book 1",H. D. Carlton,Fiction Science Horror Fantasy,Audible Audiobook,4.3,82562.0,https://www.amazon.in/Haunting-Adeline-Mouse-Duet-Book/dp/B0BC9TJX75/ref=zg_bs_g_1318165031_d_sccl_9/000-0000000-0000000?psc=1
2683,family upstairs,jewell lisa,The Family Upstairs,Lisa Jewell,Suspense Mystery Thrillers and Thriller Crime,Paperback,4.2,82147.0,https://www.amazon.in/Family-Upstairs-Number-bestseller-author/dp/1787461483/ref=zg_bs_g_22960213031_d_sccl_4/000-0000000-0000000?psc=1
350,power of your subconscious mind,joseph murphy,The Power of Your Subconscious Mind,Joseph Murphy,Economics Business,Paperback,4.5,81265.0,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_1318069031_d_sccl_1/000-0000000-0000000?psc=1
3481,burn after writing,jones sharon,BURN AFTER WRITING,Sharon Jones,Linguistics Writing Language Guides,Paperback,4.6,80511.0,https://www.amazon.in/Burn-After-Writing-Sharon-Jones/dp/0399175210/ref=zg_bs_g_1318151031_d_sccl_2/000-0000000-0000000?psc=1
5299,book lovers,emily henry,Book Lovers,EMILY HENRY,Romance Holidays,Paperback,4.2,75207.0,https://www.amazon.in/Book-Lovers-hilarious-enemies-lovers/dp/0241995345/ref=zg_bs_g_89265411031_d_sccl_3/000-0000000-0000000?psc=1
5089,"rosie project ( rosie project series, 1) [] simsion, graeme",graeme simsion,"The Rosie Project (The Rosie Project Series, 1) [Paperback] Simsion, Graeme",Graeme Simsion,Romance Clean Wholesome,Paperback,4.2,74397.0,https://www.amazon.in/Rosie-Project-Don-Tillman/dp/1405912790/ref=zg_bs_g_89265408031_d_sccl_12/000-0000000-0000000?psc=1
352,think and grow rich (pb),hill napoleon,THINK AND GROW RICH (PB),Napoleon Hill,Economics Business,Paperback,4.4,74253.0,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/9353338158/ref=zg_bs_g_1318069031_d_sccl_3/000-0000000-0000000?psc=1
1255,i love you to moon and back,little press tiger,I Love You to the Moon and Back,Little Tiger Press,Books Children's Celebrations Holidays,Board book,4.9,71361.0,https://www.amazon.in/I-Love-You-Moon-Back/dp/184869069X/ref=zg_bs_g_67803463031_d_sccl_6/000-0000000-0000000?psc=1
53,malibu rising,jenkins reid taylor,Malibu Rising,Taylor Jenkins Reid,Film Photography Music Arts,Paperback,4.2,70056.0,https://www.amazon.in/Malibu-Rising-SUNDAY-BESTSELLER-TIKTOK/dp/1529157145/ref=zg_bs_g_1318059031_d_sccl_4/000-0000000-0000000?psc=1
3148,12 rules for life,b. jordan peterson,12 Rules for Life : An Antidote to Chaos,Jordan B. Peterson,Health Family Development Personal Self-Help,Paperback,4.5,69613.0,https://www.amazon.in/12-Rules-Life-Antidote-Chaos/dp/0141988517/ref=zg_bs_g_23033695031_d_sccl_19/000-0000000-0000000?psc=1
